                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                   1.33,                0.81208,                 2.0271,                0.52488,                      1,                  0.995,                 0.0995,                 3.5995,                 1.3715,                 1.2097,              0.0013219,              0.0013219,              0.0013219
                    140,                 1.3396,                0.85539,                 2.2134,                0.94461,                      1,                  0.995,                 0.0995,                 3.8286,                 2.1309,                0.95254,              0.0013169,              0.0013169,              0.0013169
                    141,                 1.1585,                0.73558,                 2.0017,                0.94651,                      1,                  0.995,                 0.0995,                 3.9734,                 2.1183,                0.87639,               0.001312,               0.001312,               0.001312
                    142,                 1.3122,                0.80437,                 1.8232,                0.94651,                      1,                  0.995,                 0.0995,                  4.057,                 2.8592,                0.89486,               0.001307,               0.001307,               0.001307
                    143,                 1.1932,                  0.738,                 1.9279,                0.94651,                      1,                  0.995,                 0.0995,                 4.0889,                  4.273,                 1.3661,               0.001302,               0.001302,               0.001302
                    144,                 1.3177,                0.87439,                 2.1871,                0.94651,                      1,                  0.995,                 0.0995,                 3.9651,                  3.471,                 2.9333,              0.0012971,              0.0012971,              0.0012971
                    145,                 1.2695,                0.81845,                 1.9402,                0.94651,                      1,                  0.995,                 0.0995,                 3.8909,                 2.9888,                 2.6649,              0.0012922,              0.0012922,              0.0012922
                    146,                 1.2719,                 0.8076,                 1.9437,                0.94651,                      1,                  0.995,                 0.0995,                 3.8283,                 2.9537,                 1.3769,              0.0012872,              0.0012872,              0.0012872
                    147,                  1.274,                0.84428,                 1.7674,                0.94017,                      1,                  0.995,                 0.0995,                 3.7724,                 2.4303,                 1.2974,              0.0012822,              0.0012822,              0.0012822
                    148,                 1.1852,                0.72273,                 1.6651,                0.95331,                      1,                  0.995,                 0.0995,                 3.7106,                 1.9504,                 1.2423,              0.0012773,              0.0012773,              0.0012773
                    149,                 1.2256,                0.79389,                  1.793,                0.48026,                      1,                  0.995,                 0.2985,                  3.732,                 1.8703,                 1.1716,              0.0012724,              0.0012724,              0.0012724
                    150,                 1.1761,                0.73012,                 2.2649,                  0.855,                      1,                  0.995,                 0.2985,                 3.7031,                 1.9673,                 1.0585,              0.0012674,              0.0012674,              0.0012674
